Area(SQM),Bedroom,Bathroom,Location,Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Type,Level,Furnished,Compound,Delivery_Date,Delivery_Term
172,4,2,Smoha,3523884,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,10,0.0,,2025,Finished
130,3,1,Miami,1250000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,10+,,,,
100,2,1,Seyouf,580000,0,0,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,7,0.0,,Ready,Finished
310,3,3,Kafr Abdo,6500000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Apartment,7,,,,Finished
200,3,2,Laurent,3500000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,4,,,,
200,3,2,Smoha,2750000,0,1,1,1,1,0,1,1,1,0,0,0,0,0,Apartment,6,0.0,,Ready,Finished
135,3,1,Sidi Beshr,630000,1,1,1,1,0,0,1,1,0,0,0,0,0,0,Apartment,10+,0.0,,Ready,Semi Finished
288,4,3,Smoha,4100000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,2,0.0,,,
217,3,3,Smoha,3650000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,9,0.0,,,
212,4,3,Smoha,3550000,0,1,1,1,1,1,1,1,1,0,0,0,0,0,Apartment,8,0.0,,Ready,Finished
100,2,1,Smoha,1500000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,7,0.0,,Ready,Finished
125,2,2,Asafra,1500000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,9,0.0,,Ready,Finished
186,3,2,Roushdy,2550000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,9,0.0,,,
105,3,1,Agami,500000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Apartment,5,0.0,,Ready,Finished
67,3,1,Seyouf,450000,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,3,0.0,,Ready,Finished
175,3,2,Sidi Beshr,1250000,1,1,1,1,1,1,1,1,0,0,0,1,0,0,Apartment,6,0.0,,Ready,Finished
132,3,1,Al Ibrahimiyyah,1400000,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Apartment,3,0.0,,Ready,Finished
170,3,2,Laurent,1750000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,,0.0,,,
110,2,1,Agami,430000,1,1,1,1,0,1,1,1,0,0,1,1,1,1,Apartment,2,0.0,,Ready,Finished
200,2,2,Nakheel,340000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Duplex,5,0.0,Nakheel,Ready,Finished
160,3,2,Miami,3000000,1,0,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,5,1.0,,Ready,Finished
100,2,1,Nakheel,290000,1,1,1,1,0,1,0,1,0,0,0,0,0,0,Apartment,,0.0,Nakheel,Ready,Finished
135,2,1,Roushdy,1750000,0,1,1,1,1,1,1,1,0,0,0,0,0,0,Apartment,8,0.0,,,
175,3,2,Laurent,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10+,,,,
125,2,2,Smoha,2375000,0,1,1,1,1,1,1,1,0,0,0,1,0,1,Apartment,5,0.0,Murooj,2024,Finished
114,2,2,Smoha,1995000,0,1,0,0,0,0,1,1,0,0,0,0,0,1,Apartment,3,0.0,Murooj,soon,Finished
92,2,1,Stanley,2500000,0,1,1,1,1,1,1,1,0,1,1,1,0,1,Apartment,,0.0,,2025,Finished
160,3,1,Sidi Gaber,1350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,8,0.0,,Ready,Finished
145,3,2,Moharam Bik,3262500,0,1,1,1,1,1,1,1,0,0,0,1,0,1,Apartment,5,,,within 6 months,Finished
80,2,1,Seyouf,250000,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,5,0.0,,soon,Finished
177,3,2,Moharam Bik,3450000,0,1,1,1,0,1,1,1,0,1,1,1,0,1,Apartment,4,0.0,,soon,Finished
70,2,1,Agami,220000,1,1,1,1,1,0,1,1,1,0,0,0,0,0,Apartment,4,0.0,,Ready,Finished
125,3,2,Smoha,2500000,0,1,1,1,1,1,1,1,0,0,1,1,0,1,Apartment,3,0.0,,soon,Finished
177,3,2,Moharam Bik,3450000,0,1,1,1,1,1,1,1,0,0,1,1,0,1,Apartment,7,0.0,,soon,Finished
110,3,2,Moharam Bik,3000000,0,1,1,1,1,1,1,1,0,0,1,1,0,1,Apartment,2,0.0,,soon,Finished
120,3,1,Nakheel,370000,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Apartment,9,0.0,,,Finished
116,3,2,Al Hadrah,1300000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Apartment,3,1.0,,Ready,Finished
150,2,1,Nakheel,290000,1,1,1,1,0,1,0,1,0,1,1,0,0,0,Apartment,,0.0,,,Finished
220,3,3,Stanley,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,0.0,,,Finished
160,3,2,Cleopatra,3000000,0,1,1,1,1,1,1,1,1,0,0,1,1,0,Apartment,10+,1.0,,Ready,Finished
175,3,2,Smoha,2200000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,2,0.0,,Ready,Finished
160,3,2,Miami,1250000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,3,1.0,,,Finished
184,4,2,Moharam Bik,4350000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,4,0.0,,2025,Finished
201,3,2,Al Hadrah,4300000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,5,0.0,,Ready,Finished
115,2,1,Shatby,2070000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,4,0.0,,Ready,Finished
110,3,1,Gianaclis,1100000,0,0,1,1,0,0,0,1,1,0,0,1,0,0,Apartment,2,0.0,,Ready,Finished
165,3,2,Asafra,1250000,1,1,1,1,1,0,1,0,1,0,0,0,0,0,Apartment,10,1.0,,Ready,Finished
250,5,2,Nakheel,630000,1,1,1,1,0,1,1,1,0,1,1,0,0,0,Duplex,10,0.0,,,
200,2,2,Nakheel,280000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Duplex,5,0.0,,,
100,2,1,Nakheel,280000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Apartment,5,0.0,,,
190,3,2,Smoha,2650000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,8,0.0,,Ready,Finished
175,3,2,Glim,1750000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,10+,0.0,,Ready,Finished
120,3,1,Seyouf,780000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,1,0.0,,,Finished
120,2,1,Seyouf,750000,0,0,1,1,1,1,0,0,1,0,0,1,0,0,Apartment,5,1.0,,Ready,Finished
90,2,1,Abu Talat,495000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,,0.0,,2024,Semi Finished
292,4,3,Saba Pasha,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10+,1.0,,Ready,Finished
155,5,1,Bacchus,900000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,2,1.0,,Ready,Finished
100,2,1,Nakheel,255000,1,1,0,1,0,0,1,1,0,1,0,0,0,1,Apartment,1,0.0,,Ready,Finished
83,2,1,Azarita,1400000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Apartment,4,0.0,,,Finished
130,2,1,Nakheel,410000,1,1,0,1,0,1,0,1,0,0,0,0,0,0,Apartment,2,0.0,Nakheel,Ready,Finished
120,2,1,Nakheel,430000,1,1,1,1,0,0,1,1,0,0,0,0,0,0,Apartment,4,0.0,Nakheel,Ready,Finished
123,2,1,Smoha,1350000,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Apartment,9,0.0,,,Finished
120,2,2,Nakheel,360000,1,1,1,1,1,1,0,1,0,0,0,0,0,1,Apartment,1,0.0,,Ready,
120,2,1,Nakheel,280000,1,1,1,1,1,1,1,0,1,0,0,0,0,1,Apartment,2,0.0,,,
120,3,1,Agami,580000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,1,0.0,,Ready,Finished
225,2,2,Agami,490000,1,1,1,1,0,1,1,1,0,0,1,0,0,0,Apartment,5,0.0,,Ready,Finished
80,2,1,Maamoura,330000,1,1,1,1,0,0,1,0,0,0,0,0,0,0,Apartment,8,1.0,Amorada,Ready,Finished
140,3,2,Agami,750000,0,1,1,1,1,1,1,1,1,0,0,0,0,0,Apartment,4,1.0,,,
100,3,1,Maamoura,250000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,0.0,,Ready,Not Finished
162,3,2,Nakheel,375000,1,1,1,1,0,1,0,1,0,1,1,0,0,0,Apartment,,0.0,,,Finished
135,3,2,Nakheel,830000,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Apartment,3,1.0,,,Finished
306,4,2,Smoha,3100000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Duplex,8,1.0,,Ready,Finished
100,1,1,Roushdy,1800000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,4,,,,
218,3,3,Kabbary,5880000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,0.0,,soon,Finished
197,2,2,Kabbary,3980000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,,,soon,Semi Finished
198,3,3,Kabbary,4400000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,2,,,soon,Not Finished
120,2,1,Sidi Beshr,1250000,1,0,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,10+,0.0,,Ready,Finished
145,3,1,Sidi Gaber,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10+,1.0,,,Finished
110,3,1,Sidi Beshr,320000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Apartment,7,0.0,,Ready,Finished
105,3,1,Smoha,1500000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,9,1.0,,Ready,Finished
135,2,1,Nakheel,250000,1,1,1,1,0,0,0,1,0,1,0,1,0,0,Apartment,,0.0,,,Finished
90,2,1,Nakheel,200000,0,1,1,1,0,0,1,1,0,1,0,0,0,1,Apartment,3,0.0,,,
131,3,2,San Stefano,1550000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,2,,,,
120,3,1,Labban,700000,0,0,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,5,,,,Finished
145,3,1,Victoria,850000,0,0,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,4,0.0,,Ready,Finished
225,4,3,Smoha,3950000,1,1,1,1,1,1,1,1,1,0,0,1,1,0,Apartment,9,0.0,,Ready,Finished
110,2,2,Nakheel,375000,1,1,1,1,0,0,0,1,0,1,0,0,0,1,Apartment,3,0.0,Nakheel,Ready,Finished
100,2,1,Nakheel,250000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,1,0.0,Nakheel,Ready,Finished
90,2,1,Abu Qir,400000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,1,1.0,,Ready,
272,5,4,Kafr Abdo,6900000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Duplex,,0.0,,2024,Core & Shell
165,3,2,Kafr Abdo,3700000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Apartment,2,0.0,,2025,Core & Shell
85,3,1,Sidi Beshr,260000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,6,0.0,,Ready,Finished
260,4,3,Roushdy,5000000,0,1,1,1,1,1,1,1,0,1,0,1,0,0,Apartment,2,0.0,,Ready,Finished
140,3,2,Miami,500000,0,1,1,1,1,0,0,1,0,0,0,0,0,0,Apartment,10+,0.0,,Ready,Finished
120,2,1,Nakheel,320000,1,1,1,1,1,1,1,1,0,1,0,0,0,1,Apartment,3,1.0,,,
165,3,3,Kafr Abdo,2450000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,5,,,,Not Finished
175,3,2,Smoha,2200000,0,1,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,9,0.0,,,
120,2,2,Sidi Beshr,1900000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,4,1.0,,Ready,Finished
168,3,2,Smoha,2300000,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,9,0.0,,,
100,2,1,Nakheel,320000,0,1,1,1,0,0,1,1,0,0,0,0,0,0,Apartment,10,0.0,Nakheel,Ready,Finished
80,2,1,Seyouf,400000,0,1,1,1,1,0,1,1,0,0,0,1,0,0,Apartment,,0.0,,,Finished
180,4,2,Manshiyya,1300000,1,1,1,1,1,0,1,0,1,0,0,0,0,0,Apartment,10,0.0,,,Finished
130,3,2,Agami,550000,0,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,3,0.0,,Ready,Finished
90,2,1,Mandara,550000,0,0,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,1,1.0,,Ready,Finished
120,2,1,Seyouf,800000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,7,0.0,,,Finished
120,3,1,Nakheel,370000,1,1,1,1,0,1,1,1,0,1,0,0,0,0,Apartment,8,0.0,,,Finished
240,4,2,Nakheel,450000,1,1,1,1,0,1,1,1,0,1,0,0,0,0,Duplex,5,0.0,,,Finished
300,3,3,Saba Pasha,4600000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,8,0.0,,Ready,Finished
110,2,1,Nakheel,290000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,4,0.0,,,Finished
112,3,2,Abu Qir,300000,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,5,1.0,,Ready,Finished
150,3,1,Agami,400000,1,1,1,1,0,1,1,1,0,0,0,1,0,0,Apartment,1,0.0,,,Finished
75,3,1,Moharam Bik,525000,1,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,4,0.0,,Ready,Finished
70,1,1,Mandara,570000,0,0,1,1,1,1,1,1,0,0,0,1,0,0,Apartment,5,0.0,,,Finished
90,1,1,Agami,425000,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Apartment,2,1.0,,Ready,Finished
85,2,1,Nakheel,270000,1,1,1,0,1,1,1,1,0,0,0,0,0,0,Apartment,4,0.0,Nakheel,Ready,Finished
110,2,1,Nakheel,260000,1,1,1,1,0,1,0,1,0,1,0,0,0,0,Apartment,2,0.0,,,
180,3,2,Smoha,2700000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Apartment,10+,0.0,,,
90,2,1,Nakheel,245000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Apartment,3,0.0,,,Finished
150,2,2,Smoha,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,8,0.0,,Ready,Finished
112,2,1,Smoha,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,,,Finished
75,2,1,Seyouf,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,7,1.0,,,Finished
120,3,1,Nakheel,315000,1,1,1,1,0,0,1,1,0,0,0,0,0,0,Apartment,1,0.0,,Ready,Finished
100,2,1,Nakheel,260000,1,1,1,0,1,0,1,1,0,0,0,0,0,0,Apartment,1,0.0,Nakheel,Ready,Finished
165,3,2,Sporting,2600000,1,0,1,1,1,1,1,1,1,0,0,0,0,0,Apartment,10+,0.0,,Ready,Finished
80,2,1,Seyouf,410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,8,0.0,,Ready,Finished
115,3,1,Moharam Bik,975000,0,1,1,1,0,0,1,1,0,0,0,1,0,0,Apartment,4,0.0,,Ready,Finished
130,3,2,Smoha,1050000,1,1,1,1,0,0,1,1,0,0,0,1,0,0,Apartment,8,0.0,,Ready,Semi Finished
180,3,2,Laurent,2200000,1,1,1,1,1,0,1,1,1,0,0,1,1,0,Apartment,4,0.0,,Ready,Finished
150,2,1,Seyouf,990000,0,1,1,1,0,0,1,1,1,0,0,1,0,0,Apartment,7,0.0,,Ready,Finished
120,3,2,Nakheel,680000,1,1,1,1,0,1,1,1,0,1,0,1,0,1,Apartment,3,,,,Finished
300,5,3,Agami,950000,1,1,1,1,0,1,1,1,0,0,0,0,1,0,Duplex,5,0.0,,Ready,Finished
110,2,1,Agami,340000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,4,0.0,,,Finished
120,3,1,Nakheel,440000,1,1,1,1,0,1,1,1,0,1,0,0,0,0,Apartment,4,,,,Finished
90,2,1,Nakheel,390000,1,1,1,1,0,1,1,0,0,1,0,1,0,1,Apartment,5,,,Ready,Finished
150,3,1,Nakheel,280000,1,1,1,1,0,1,0,1,0,1,1,0,0,0,Apartment,,0.0,,,Finished
130,3,1,Nakheel,330000,1,1,1,1,0,1,0,1,0,1,0,0,0,0,Apartment,1,0.0,,,
130,3,2,Agami,850000,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Apartment,1,1.0,,Ready,Finished
135,3,2,Smoha,2600000,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Apartment,3,0.0,,Ready,Finished
120,3,1,Nakheel,300000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Apartment,3,0.0,,,Finished
145,3,2,Sidi Beshr,3400000,1,1,1,1,1,1,0,1,1,0,0,1,1,0,Apartment,7,1.0,,Ready,Finished
120,3,1,Nakheel,310000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,3,0.0,Nakheel,Ready,Finished
100,2,1,Schutz,570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10,0.0,,Ready,Finished
125,3,1,Miami,1500000,0,1,1,1,1,1,1,1,1,0,0,1,1,0,Apartment,8,0.0,,Ready,
120,3,1,Agami,315000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,1,0.0,,Ready,Finished
200,3,2,Kafr Abdo,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,7,,,Ready,Finished
140,3,2,Saba Pasha,3300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,9,0.0,,Ready,Finished
75,2,1,Sidi Gaber,700000,0,1,1,1,0,1,1,1,1,0,0,0,1,0,Apartment,10,0.0,,soon,
125,3,1,Nakheel,390000,1,1,1,1,0,1,1,1,0,1,0,0,0,0,Apartment,2,0.0,,,Finished
175,3,3,Sidi Gaber,3050000,0,1,1,1,1,0,0,1,0,0,0,1,0,0,Apartment,8,0.0,,Ready,Finished
162,3,1,Nakheel,440000,1,1,1,1,0,1,0,1,0,1,1,1,0,0,Apartment,,0.0,,,Finished
100,2,1,Nakheel,275000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Apartment,2,0.0,,,
80,2,1,Miami,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,1,,,Ready,Finished
230,4,2,Roushdy,3350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,,Ready,Finished
160,3,2,Laurent,2300000,1,1,1,1,1,0,1,1,1,0,0,1,0,0,Apartment,3,0.0,,Ready,Not Finished
70,2,1,Sidi Beshr,680000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,2,0.0,,Ready,
120,3,1,Maamoura,1600000,0,1,1,1,1,1,0,1,0,0,0,0,0,0,Apartment,1,0.0,,Ready,Finished
106,2,1,Smoha,6000000,1,1,0,0,1,0,1,1,0,0,0,0,0,0,Apartment,7,,,Ready,Finished
160,3,2,Sporting,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10+,,,,
167,3,3,Smoha,3173000,0,1,1,1,0,0,1,1,0,0,0,1,0,1,Apartment,4,0.0,,2025,Finished
300,3,3,Mandara,2500000,1,0,1,1,1,0,1,0,0,0,0,0,0,0,Duplex,9,0.0,,Ready,Finished
110,2,1,Moharam Bik,750000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,9,0.0,,,Finished
196,4,2,Saba Pasha,2350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,,,,
135,3,2,Glim,1550000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Apartment,10+,0.0,,soon,Finished
183,3,2,Stanley,2700000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,10+,0.0,,,Finished
195,3,3,Kafr Abdo,3200000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,10+,0.0,,,Not Finished
184,3,3,Smoha,3500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Apartment,4,0.0,,,Semi Finished
135,2,2,Glim,2900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,5,0.0,,,Finished
156,3,1,Smoha,1800000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,,,Finished
165,3,2,Saba Pasha,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,0.0,,,Finished
120,2,2,Sidi Beshr,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,4,0.0,,,Finished
157,3,2,Laurent,2050000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Apartment,8,1.0,,,Finished
125,2,2,Fleming,1400000,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,7,0.0,,,Finished
300,3,3,Smoha,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10,0.0,,,Finished
190,3,3,Kafr Abdo,3400000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,3,0.0,,,Finished
165,3,1,Kafr Abdo,3400000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,3,0.0,,within 6 months,Finished
75,2,1,Asafra,425000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,10,0.0,,Ready,
169,3,3,Moharam Bik,3339000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,8,,,,
171,3,3,Moharam Bik,3163000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,5,,,2025,Finished
